first_name;last_name;email;password;date_of_birth
Lori;Mcgee;carpenterjohn@example.net;#Th3Nrzd2U;07.19.1992
Luis;Patterson;wrightvalerie@example.com;iD81F#nl_Z;10.23.1978
Donna;Hernandez;kathleenrobinson@example.org;U9p8S%j1+*;01.18.1979
Eric;Garcia;perezmark@example.com;W#Wxt5Tksd;05.31.1992
David;Garcia;xpratt@example.org;%zM#SkQwM9;07.07.1969
Joseph;Padilla;yangkristin@example.com;H1+2JqiU(g;11.14.1955
Nicholas;Powers;kimberly48@example.com;*O3!S@jo+f;04.01.1959
Philip;Smith;richardmorgan@example.org;%rRCO0Tt*2;05.27.1982
Kathleen;Roman;brownkatherine@example.com;99RBVqEi&u;12.01.1973
Holly;Rice;kara87@example.com;9I#8jFZaQ&;12.23.1981
